"Name"	"File Extension"	"File Type"	"Is Deleted"	"Last Accessed"	"File Created"	"Last Modified"	"Size"	"Address"	"Hash Value"	"Known Status"	"Permissions"	"Full Path"
"NTUSER.DAT"	".DAT"	"r"	""	"2014-08-25 14:47:37 CDT"	"2014-08-25 14:47:37 CDT"	"2014-02-06 04:40:48 CST"	"262144"	"371"	"58fe284ae46bfb61439e06c901bfa5d1"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Default/NTUSER.DAT"
"NTUSER.DAT"	".DAT"	"r"	""	"2014-08-25 15:17:32 CDT"	"2014-08-25 15:17:32 CDT"	"2014-02-06 04:40:48 CST"	"262144"	"600"	"58fe284ae46bfb61439e06c901bfa5d1"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Default User/NTUSER.DAT"
"Certificate Revocation Lists"	""	"r"	""	"2014-08-25 15:35:43 CDT"	"2014-08-25 15:35:43 CDT"	"2014-08-02 18:55:00 CDT"	"217177"	"613"	"df35b8ef39c626a2f7b593833a825537"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Certificate Revocation Lists"
"Certificate Revocation Lists-slack"	""	"r"	""	"2014-08-25 15:35:43 CDT"	"2014-08-25 15:35:43 CDT"	"2014-08-02 18:55:00 CDT"	"4007"	"613"	"null"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Certificate Revocation Lists-slack"
"chrome_shutdown_ms.txt"	".txt"	"r"	""	"2014-08-25 15:35:43 CDT"	"2014-08-25 15:35:43 CDT"	"2014-08-24 14:21:09 CDT"	"5"	"614"	"1498398e01a414d87f649b19fa2bcf5f"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/chrome_shutdown_ms.txt"
"Last Tabs"	""	"r"	""	"2014-08-25 15:35:45 CDT"	"2014-08-25 15:35:45 CDT"	"2014-08-24 14:18:18 CDT"	"5569"	"645"	"f83274a9340e9c7a345f69a8e3b3093f"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Last Tabs"
"Last Tabs-slack"	""	"r"	""	"2014-08-25 15:35:45 CDT"	"2014-08-25 15:35:45 CDT"	"2014-08-24 14:18:18 CDT"	"2623"	"645"	"null"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Last Tabs-slack"
"data_0"	""	"r"	""	"2014-08-25 15:35:45 CDT"	"2014-08-25 15:35:45 CDT"	"2014-08-02 18:58:44 CDT"	"45056"	"668"	"9c2ddfe2224bc032d446b4e312905b26"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Application Cache/Cache/data_0"
"data_1"	""	"r"	""	"2014-08-25 15:35:45 CDT"	"2014-08-25 15:35:45 CDT"	"2014-08-02 18:58:44 CDT"	"270336"	"669"	"7a3826793688888432c138d4b74fc4b3"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Application Cache/Cache/data_1"
"data_2"	""	"r"	""	"2014-08-25 15:35:45 CDT"	"2014-08-25 15:35:45 CDT"	"2014-08-02 18:58:44 CDT"	"1056768"	"670"	"fc6eeda24f9b90f9ff9f45789540cd97"	"unknown"	"rrwxrwxrwx"	"/img_InCh05.img/Users/Denise/AppData/Local/Google/Chrome/User Data/Default/Application Cache/Cache/data_2"
